mission_index,timestamp,latitude,longitude,altitude,velocity,roll,pitch,yaw
0,0.0,25.050121050170347,81.55017274733822,2000.0,220.0,0.0,0.0,0.9124297117027828
1,0.1,25.05024210014067,81.5503454950178,2000.0,220.0,0.0,0.0,0.9124309898068207
2,0.2,25.050363149910975,81.55051824303872,2000.0,220.0,0.0,0.0,0.912432267921824
3,0.30000000000000004,25.050484199481254,81.55069099140101,2000.0,220.0,0.0,0.0,0.9124335460477663
4,0.4,25.050605248851504,81.55086374010466,2000.0,220.0,0.0,0.0,0.9124348241846901
5,0.5,25.050726298021726,81.55103648914968,2000.0,220.0,0.0,0.0,0.9124361023325722
6,0.6,25.050847346991915,81.55120923853606,2000.0,220.0,0.0,0.0,0.9124373804913858
7,0.7,25.050968395762073,81.55138198826381,2000.0,220.0,0.0,0.0,0.9124386586611988
8,0.7999999999999999,25.051089444332195,81.55155473833292,2000.0,220.0,0.0,0.0,0.9124399368420071
9,0.8999999999999999,25.051210492702282,81.55172748874341,2000.0,220.0,0.0,0.0,0.9124412150338346
10,0.9999999999999999,25.05133154087233,81.55190023949528,2000.0,220.0,0.0,0.0,0.912442493236722
11,1.0999999999999999,25.051452588842334,81.55207299058853,2000.0,220.0,0.0,0.0,0.9124437714505085
12,1.2,25.051573636612297,81.55224574202315,2000.0,220.0,0.0,0.0,0.9124450496753748
13,1.3,25.051694684182216,81.55241849379915,2000.0,220.0,0.0,0.0,0.9124463279112974
14,1.4000000000000001,25.05181573155209,81.55259124591655,2000.0,220.0,0.0,0.0,0.9124476061582499
15,1.5000000000000002,25.051936778721913,81.55276399837533,2000.0,220.0,0.0,0.0,0.9124488844162765
16,1.6000000000000003,25.052057825691687,81.5529367511755,2000.0,220.0,0.0,0.0,0.9124501626853534
17,1.7000000000000004,25.052178872461408,81.55310950431705,2000.0,220.0,0.0,0.0,0.9124514409655249
18,1.8000000000000005,25.052299919031075,81.5532822578,2000.0,220.0,0.0,0.0,0.9124527192567903
19,1.9000000000000006,25.052420965400685,81.55345501162435,2000.0,220.0,0.0,0.0,0.9124539975591003
20,2.0000000000000004,25.05254201157024,81.5536277657901,2000.0,220.0,0.0,0.0,0.9124552758725933
21,2.1000000000000005,25.052663057539732,81.55380052029724,2000.0,220.0,0.0,0.0,0.9124565541971978
22,2.2000000000000006,25.052784103309165,81.5539732751458,2000.0,220.0,0.0,0.0,0.91245783253289
23,2.3000000000000007,25.052905148878533,81.55414603033574,2000.0,220.0,0.0,0.0,0.9124591108798066
24,2.400000000000001,25.053026194247835,81.55431878586711,2000.0,220.0,0.0,0.0,0.9124603892378326
25,2.500000000000001,25.05314723941707,81.55449154173989,2000.0,220.0,0.0,0.0,0.9124616676070104
26,2.600000000000001,25.053268284386235,81.55466429795408,2000.0,220.0,0.0,0.0,0.9124629459873166
27,2.700000000000001,25.05338932915533,81.55483705450968,2000.0,220.0,0.0,0.0,0.9124642243788684
